"filecoverage","totalcoverage"
100,29.44
100,29.44
66.67,29.44
62.5,29.44
100,29.44
100,29.44
100,29.44
81.82,29.44
100,29.44
66.67,29.44
83.33,29.44
86.67,29.44
0,29.44
0,29.44
75,29.44
0,29.44
0,29.44
0,29.44
88.89,29.44
77.78,29.44
100,29.44
100,29.44
100,29.44
80,29.44
100,29.44
100,29.44
72.73,29.44
81.82,29.44
100,29.44
59.57,29.44
65.38,29.44
93.33,29.44
77.78,29.44
52.54,29.44
41.23,29.44
86.36,29.44
100,29.44
0,29.44
0,29.44
100,29.44
0,29.44
0,29.44
74.76,29.44
79.75,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
100,29.44
0,29.44
0,29.44
58.12,29.44
100,29.44
94.12,29.44
85,29.44
76.92,29.44
100,29.44
76.92,29.44
0,29.44
0,29.44
0,29.44
100,29.44
100,29.44
0,29.44
0,29.44
84.62,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
100,29.44
0,29.44
0,29.44
100,29.44
80,29.44
53.33,29.44
85.71,29.44
70.59,29.44
0,29.44
100,29.44
0,29.44
87.5,29.44
80,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
100,29.44
100,29.44
83.33,29.44
78.08,29.44
0,29.44
69.23,29.44
0,29.44
89.47,29.44
100,29.44
78.57,29.44
100,29.44
100,29.44
65.83,29.44
0,29.44
58.82,29.44
100,29.44
100,29.44
85,29.44
71.43,29.44
100,29.44
95.65,29.44
61.9,29.44
67.74,29.44
63.33,29.44
39.62,29.44
0,29.44
0,29.44
0,29.44
0,29.44
0,29.44
28.37,29.44
52.08,29.44
100,29.44
100,29.44
66.67,29.44
100,29.44
100,29.44
